DATE,CUSR0000SA0L2,Annual Inflation (Shelter Excluded)
1/31/20,236.775,0.018531663
2/29/20,235.279,0.007946912
3/31/20,232.533,-0.007643263
4/30/20,231.893,-0.009406438
5/31/20,233.348,-0.001258335
6/30/20,234.986,0.003583219
7/31/20,236.11,0.007940235
8/31/20,236.829,0.010366938
9/30/20,237.097,0.007906919
10/31/20,237.847,0.008009934
11/30/20,239.222,0.010420054
12/31/20,239.776,0.013003912
1/31/21,241.014,0.017903073
2/28/21,242.538,0.030852732
3/31/21,244.588,0.051842104
4/30/21,246.528,0.063111004
5/31/21,249.002,0.067084355
6/30/21,250.241,0.064918761
7/31/21,251.08,0.063402651
8/31/21,252.127,0.06459513
9/30/21,255.052,0.075728499
10/31/21,257.709,0.083507465
11/30/21,259.955,0.08666845
12/31/21,261.753,0.091656379
1/31/22,264.027,0.09548408
2/28/22,267.581,0.103253923
3/31/22,268.553,0.097981095
4/30/22,271.337,0.100633599
5/31/22,275.542,0.106585489
6/30/22,274.739,0.097897627
7/31/22,274.106,0.091707822
8/31/22,274.765,0.089788083
9/30/22,275.877,0.081650016
10/31/22,276.104,0.071378958
11/30/22,275.311,0.059071762
12/31/22,276.476,0.056247684
1/31/23,277.052,0.049332076
2/28/23,276.618,0.033772951
3/31/23,277.715,0.034116171
4/30/23,277.39,0.022308052
5/31/23,277.672,0.007730219
6/30/23,277.839,0.011283436
7/31/23,279.501,0.019682167
8/31/23,280.192,0.019751424
9/30/23,280.023,0.015028437
10/31/23,280.042,0.014262742
11/30/23,280.431,0.01859715
12/31/23,280.799,0.015636077
1/31/24,282.064,0.018090467
2/29/24,283.067,0.02331374
3/31/24,283.849,0.022087392
4/30/24,283.228,0.02104618
5/31/24,282.703,0.0181185
6/30/24,282.779,0.017780081